timestamp,bid_price,bid_vol,ask_price,ask_vol
2026-04-17T14:37:49.865428+00:00,77772.34,5.47357,77772.35,0.22421
2026-04-17T14:37:51.204660+00:00,77788.4,4.03289,77788.41,0.51467
2026-04-17T14:37:52.502140+00:00,77788.4,2.62229,77788.41,1.51683
2026-04-17T14:37:53.866591+00:00,77783.42,1.92212,77783.43,1.90461
2026-04-17T14:37:55.197765+00:00,77788.4,5.1908,77788.41,0.60178
2026-04-17T14:37:56.528702+00:00,77794.13,2.46615,77794.14,1.49896
2026-04-17T14:37:57.861381+00:00,77794.13,2.60074,77794.14,1.38164
2026-04-17T14:37:59.159409+00:00,77802.26,3.78573,77802.27,0.9497
2026-04-17T14:38:00.521599+00:00,77789.51,3.11983,77789.52,4.26691
2026-04-17T14:38:01.830214+00:00,77799.08,4.28817,77799.09,0.71605
2026-04-17T14:38:03.129145+00:00,77809.78,5.01786,77809.79,0.04458
2026-04-17T14:38:04.503894+00:00,77824.51,3.54166,77824.52,0.71302
2026-04-17T14:38:05.818258+00:00,77824.51,2.92121,77824.52,0.28511
2026-04-17T14:38:07.122036+00:00,77832.8,5.77233,77832.81,1.02776
2026-04-17T14:38:08.467827+00:00,77832.8,5.50812,77832.81,1.34526
2026-04-17T14:38:09.778624+00:00,77832.8,1.90271,77832.81,1.49407
2026-04-17T14:38:11.073500+00:00,77832.8,0.36473,77832.81,4.47151
2026-04-17T14:38:12.400794+00:00,77818.11,3.17108,77818.12,1.86797
2026-04-17T14:38:13.732897+00:00,77828.39,3.92998,77828.4,1.13969
2026-04-17T14:38:15.044364+00:00,77818.11,0.70056,77818.12,4.1771
2026-04-17T14:38:16.394087+00:00,77800.01,1.17837,77800.02,2.24376
2026-04-17T14:38:17.828482+00:00,77801.6,4.33165,77801.61,0.35355
2026-04-17T14:38:19.211909+00:00,77809.76,3.04842,77809.77,0.28199
2026-04-17T14:38:20.522506+00:00,77809.76,1.93854,77809.77,1.54297
2026-04-17T14:38:21.925034+00:00,77809.76,0.79291,77809.77,2.17633
2026-04-17T14:38:23.254902+00:00,77809.76,0.86738,77809.77,2.545
2026-04-17T14:38:24.578057+00:00,77809.76,2.64766,77809.77,1.89455
2026-04-17T14:38:26.124261+00:00,77809.75,5.77999,77809.76,0.51046
2026-04-17T14:38:27.466552+00:00,77832.79,2.64994,77832.8,2.03565
2026-04-17T14:38:28.877516+00:00,77835.87,5.44486,77835.88,0.02304
2026-04-17T14:38:30.630036+00:00,77845.37,2.49569,77845.38,1.26292
2026-04-17T14:38:32.092072+00:00,77849.98,0.03251,77849.99,3.04452
2026-04-17T14:38:33.497071+00:00,77842.48,3.33867,77842.49,1.63174
2026-04-17T14:38:34.880468+00:00,77842.48,3.33615,77842.49,0.52187
2026-04-17T14:38:36.403922+00:00,77843.59,3.78671,77843.6,1.34035
2026-04-17T14:38:37.770694+00:00,77843.59,2.24596,77843.6,1.28367
2026-04-17T14:38:39.102996+00:00,77857.86,0.53055,77858.0,1.47062
2026-04-17T14:38:40.427121+00:00,77857.99,3.26906,77858.0,0.72368
2026-04-17T14:38:41.893827+00:00,77859.99,3.1179,77860.0,0.86168
2026-04-17T14:38:43.244035+00:00,77857.99,2.76283,77858.0,0.71847
2026-04-17T14:38:44.654534+00:00,77854.35,0.30263,77854.36,4.55302
2026-04-17T14:38:46.091911+00:00,77841.82,2.14438,77841.83,1.59126
2026-04-17T14:38:47.424731+00:00,77815.9,2.16166,77815.91,2.04246
2026-04-17T14:38:48.853404+00:00,77850.24,1.99883,77850.25,1.93125
2026-04-17T14:38:50.272419+00:00,77838.3,1.46958,77838.31,3.98807
2026-04-17T14:38:51.604671+00:00,77838.3,0.40057,77838.31,3.96448
2026-04-17T14:38:52.964246+00:00,77838.3,0.57151,77838.31,2.89657
2026-04-17T14:38:54.292215+00:00,77838.3,1.41684,77838.31,2.33548
2026-04-17T14:38:55.664794+00:00,77838.3,1.68158,77838.31,1.80975
2026-04-17T14:38:56.968398+00:00,77830.75,4.08491,77830.76,0.68231
2026-04-17T14:38:58.483222+00:00,77830.75,4.08381,77830.76,0.32479
2026-04-17T14:38:59.809601+00:00,77830.75,0.27894,77830.76,2.48996
2026-04-17T14:39:01.122795+00:00,77830.75,2.29131,77830.76,0.49154
2026-04-17T14:39:02.438217+00:00,77792.22,3.49427,77792.23,1.59759
2026-04-17T14:39:03.765529+00:00,77792.24,2.12731,77792.25,3.17807
2026-04-17T14:39:05.067428+00:00,77776.18,2.29947,77776.19,0.82963
2026-04-17T14:39:06.407871+00:00,77773.66,0.76746,77773.67,3.57401
2026-04-17T14:39:07.767266+00:00,77773.66,1.82366,77773.67,1.26986
2026-04-17T14:39:09.060679+00:00,77777.0,6.28656,77777.01,0.00175
2026-04-17T14:39:10.374247+00:00,77784.77,3.08411,77784.78,0.7608
2026-04-17T14:39:11.672254+00:00,77783.71,0.62215,77783.72,2.235
2026-04-17T14:39:12.968667+00:00,77785.65,4.61483,77785.66,0.00154
2026-04-17T14:39:14.261958+00:00,77786.41,2.81329,77786.42,2.18485
2026-04-17T14:39:15.579226+00:00,77786.41,2.58947,77786.42,1.09617
2026-04-17T14:39:16.912803+00:00,77793.18,2.55592,77793.19,0.17044
2026-04-17T14:39:18.209771+00:00,77799.36,5.93324,77799.37,0.6572
2026-04-17T14:39:19.520051+00:00,77806.74,2.28636,77806.75,1.82432
2026-04-17T14:39:20.906339+00:00,77806.74,2.20275,77806.75,1.51615
2026-04-17T14:39:22.208860+00:00,77806.74,2.75528,77806.75,0.21629
2026-04-17T14:39:23.568345+00:00,77830.74,5.59698,77830.75,0.76099
2026-04-17T14:39:24.899280+00:00,77828.12,4.07179,77828.13,1.08656
2026-04-17T14:39:26.230763+00:00,77835.92,1.83036,77835.93,1.64435
2026-04-17T14:39:27.546951+00:00,77846.8,2.95692,77846.81,1.46481
2026-04-17T14:39:28.850839+00:00,77846.8,2.93849,77846.81,0.74633
2026-04-17T14:39:30.224064+00:00,77846.81,7.54949,77846.82,0.00119
2026-04-17T14:39:31.555058+00:00,77850.35,4.79567,77850.36,0.05065
2026-04-17T14:39:32.886494+00:00,77850.35,5.05306,77850.36,0.21592
2026-04-17T14:39:34.218142+00:00,77856.12,2.18502,77856.13,1.10718
2026-04-17T14:39:35.548677+00:00,77850.35,3.07425,77850.36,1.2064
2026-04-17T14:39:36.879840+00:00,77850.35,2.55577,77850.36,0.97772
2026-04-17T14:39:38.180829+00:00,77850.35,3.11192,77850.36,0.00126
2026-04-17T14:39:39.472876+00:00,77850.36,4.24935,77850.37,0.58033
2026-04-17T14:39:40.784075+00:00,77850.37,5.41585,77850.38,0.03625
2026-04-17T14:39:42.143627+00:00,77850.38,6.9328,77850.39,0.00098
2026-04-17T14:39:43.535942+00:00,77833.54,0.24594,77833.56,2e-05
2026-04-17T14:39:44.866999+00:00,77840.72,3.66561,77840.73,0.00114
2026-04-17T14:39:46.198521+00:00,77840.73,5.90929,77840.74,0.05721
2026-04-17T14:39:47.504271+00:00,77847.06,5.69457,77847.07,0.00953
2026-04-17T14:39:48.797945+00:00,77847.07,5.78217,77847.08,0.01043
2026-04-17T14:39:50.191717+00:00,77847.07,6.17013,77847.08,0.2199
2026-04-17T14:39:51.531797+00:00,77852.15,6.28209,77852.16,0.00132
2026-04-17T14:39:52.817268+00:00,77852.16,5.51196,77852.17,0.00126
2026-04-17T14:39:54.101222+00:00,77864.36,4.96772,77864.37,0.15949
2026-04-17T14:39:55.400969+00:00,77869.99,3.40775,77870.0,0.35202
2026-04-17T14:39:56.770963+00:00,77870.01,4.63638,77870.02,0.00105
2026-04-17T14:39:58.108388+00:00,77871.61,2.13395,77871.62,0.48216
2026-04-17T14:39:59.443053+00:00,77871.62,5.88008,77871.63,0.00105
2026-04-17T14:40:00.842254+00:00,77871.67,5.76999,77871.68,0.00098
2026-04-17T14:40:02.139343+00:00,77877.92,1.01809,77877.93,3.0235
2026-04-17T14:40:03.447393+00:00,77877.92,1.17221,77877.93,1.61751
2026-04-17T14:40:04.834969+00:00,77879.99,5.28563,77880.0,3.35334
2026-04-17T14:40:06.274882+00:00,77887.97,0.37713,77888.0,67.03405
2026-04-17T14:40:07.693653+00:00,77880.17,1.07661,77880.18,3.69107
2026-04-17T14:40:09.034248+00:00,77868.0,0.65382,77868.01,5.36458
2026-04-17T14:40:10.364825+00:00,77858.44,2.24049,77858.45,0.34133
2026-04-17T14:40:11.695465+00:00,77858.17,1.72954,77858.18,2.79572
2026-04-17T14:40:12.987238+00:00,77860.03,1.69382,77860.04,4.80996
2026-04-17T14:40:14.308118+00:00,77860.03,1.34945,77860.04,2.06469
2026-04-17T14:40:15.607885+00:00,77860.03,2.49647,77860.04,1.41053
2026-04-17T14:40:16.951118+00:00,77896.05,2.45419,77896.06,2.18114
2026-04-17T14:40:18.250612+00:00,77896.06,5.64398,77896.07,0.13328
2026-04-17T14:40:19.573190+00:00,77896.06,4.36389,77896.07,0.65911
2026-04-17T14:40:20.949139+00:00,77897.98,5.16852,77897.99,0.03645
2026-04-17T14:40:22.325087+00:00,77907.47,3.80996,77907.48,1.90413
2026-04-17T14:40:23.676897+00:00,77909.99,2.73491,77910.0,2.08267
2026-04-17T14:40:25.000394+00:00,77915.98,0.50665,77915.99,5.75143
2026-04-17T14:40:26.302966+00:00,77917.05,4.44174,77917.06,1.51702
2026-04-17T14:40:27.596184+00:00,77914.06,0.74416,77914.07,5.48814
2026-04-17T14:40:28.999269+00:00,77914.06,1.94615,77914.07,2.51214
2026-04-17T14:40:30.305315+00:00,77902.09,0.12171,77902.1,3.42119
2026-04-17T14:40:31.619188+00:00,77896.06,4.63296,77896.07,0.03825
2026-04-17T14:40:32.914447+00:00,77909.89,6.01293,77909.9,0.29274
2026-04-17T14:40:34.205330+00:00,77900.97,2.81501,77900.98,0.37134
2026-04-17T14:40:35.500104+00:00,77901.0,5.61658,77901.01,0.00265
2026-04-17T14:40:36.890726+00:00,77901.01,2.61217,77901.02,0.58572
2026-04-17T14:40:38.304635+00:00,77900.0,2.5815,77900.01,2.52561
2026-04-17T14:40:39.957475+00:00,77900.0,2.21047,77900.01,0.71507
2026-04-17T14:40:41.260147+00:00,77901.01,4.9106,77901.02,0.44134
2026-04-17T14:40:42.559986+00:00,77900.0,1.81109,77900.01,1.87183
2026-04-17T14:40:43.854419+00:00,77900.0,0.46457,77900.01,2.18416
2026-04-17T14:40:45.179275+00:00,77889.99,5.43837,77890.0,0.35037
2026-04-17T14:40:46.477129+00:00,77900.0,4.60619,77900.01,0.0149
2026-04-17T14:40:47.784659+00:00,77901.01,3.22122,77901.02,0.05012
2026-04-17T14:40:49.082881+00:00,77901.01,2.02472,77901.02,1.72297
2026-04-17T14:40:50.490377+00:00,77862.4,3.44529,77862.41,0.81376
2026-04-17T14:40:51.785339+00:00,77875.75,3.77587,77875.76,0.15876
2026-04-17T14:40:53.159081+00:00,77883.54,5.9614,77883.55,0.32389
2026-04-17T14:40:54.457622+00:00,77883.54,2.59006,77883.55,1.10977
2026-04-17T14:40:55.830071+00:00,77883.54,3.20664,77883.55,1.20985
2026-04-17T14:40:57.132502+00:00,77883.54,1.70332,77883.55,1.50716
2026-04-17T14:40:58.433461+00:00,77873.53,5.45471,77873.54,0.00149
2026-04-17T14:40:59.824464+00:00,77882.93,4.20253,77882.94,1.33735
2026-04-17T14:41:01.154391+00:00,77892.96,3.61808,77892.97,0.49871
2026-04-17T14:41:02.884426+00:00,77905.99,4.10961,77906.0,0.16684
2026-04-17T14:41:04.226887+00:00,77905.99,3.46691,77906.0,1.70711
2026-04-17T14:41:05.528621+00:00,77905.91,1.84148,77905.92,2.03207
2026-04-17T14:41:06.889054+00:00,77905.91,2.38865,77905.92,0.20075
2026-04-17T14:41:08.188021+00:00,77898.11,3.07879,77898.12,0.24395
2026-04-17T14:41:09.551633+00:00,77916.74,0.0821,77916.75,2.09314
2026-04-17T14:41:10.882580+00:00,77902.0,1.02309,77902.01,2.13963
2026-04-17T14:41:12.176616+00:00,77901.21,0.00953,77901.22,5.58958
2026-04-17T14:41:13.544715+00:00,77899.96,5.24617,77899.97,0.00126
2026-04-17T14:41:14.876158+00:00,77893.18,2.61569,77893.19,1.39701
2026-04-17T14:41:16.170391+00:00,77893.18,4.3999,77893.19,0.00133
2026-04-17T14:41:17.538526+00:00,77916.56,5.14695,77916.57,0.4632
2026-04-17T14:41:18.863492+00:00,77919.99,0.78099,77920.0,2.71051
2026-04-17T14:41:20.194527+00:00,77919.99,2.31194,77920.0,0.40643
2026-04-17T14:41:21.532194+00:00,77920.22,3.48266,77920.23,0.07728
2026-04-17T14:41:22.863443+00:00,77929.77,2.96921,77929.78,2.05467
2026-04-17T14:41:24.194216+00:00,77929.77,0.68664,77929.78,1.92931
2026-04-17T14:41:25.496138+00:00,77916.12,0.75228,77916.13,3.91215
2026-04-17T14:41:26.856596+00:00,77929.77,0.96372,77929.78,2.94695
2026-04-17T14:41:28.188142+00:00,77929.77,0.63715,77929.78,2.71956
2026-04-17T14:41:29.519657+00:00,77919.59,1.64315,77919.6,3.30115
2026-04-17T14:41:30.811294+00:00,77919.59,1.00742,77919.6,2.61529
2026-04-17T14:41:32.110656+00:00,77919.59,4.35043,77919.6,1.10487
2026-04-17T14:41:33.512912+00:00,77919.59,3.26077,77919.6,0.09942
2026-04-17T14:41:34.809375+00:00,77919.63,6.65859,77919.64,0.64949
2026-04-17T14:41:36.105265+00:00,77919.63,2.12491,77919.64,0.60854
2026-04-17T14:41:37.410325+00:00,77919.63,2.80226,77919.64,0.30999
2026-04-17T14:41:38.735819+00:00,77919.63,2.60221,77919.64,0.26387
2026-04-17T14:41:40.066441+00:00,77919.63,2.51227,77919.64,0.20053
2026-04-17T14:41:41.397670+00:00,77937.99,0.3,77938.0,0.00715
2026-04-17T14:41:42.728661+00:00,77939.34,2.39699,77939.35,0.40047
2026-04-17T14:41:44.029125+00:00,77947.88,3.89809,77947.89,0.42069
2026-04-17T14:41:45.391194+00:00,77948.25,3.01483,77948.26,0.16711
2026-04-17T14:41:46.722056+00:00,77949.99,3.72313,77950.0,0.81024
2026-04-17T14:41:48.053566+00:00,77950.13,3.16503,77950.14,1.65297
2026-04-17T14:41:49.384813+00:00,77950.13,2.38293,77950.14,0.00133
2026-04-17T14:41:50.715995+00:00,77950.28,4.11054,77950.29,0.00105
2026-04-17T14:41:52.013863+00:00,77954.27,5.74087,77954.28,0.66579
2026-04-17T14:41:53.307410+00:00,77955.33,3.85041,77955.34,1.5335
2026-04-17T14:41:54.709506+00:00,77955.33,4.14062,77955.34,1.219
2026-04-17T14:41:56.009962+00:00,77955.83,3.41768,77955.84,0.18501
2026-04-17T14:41:57.313925+00:00,77959.76,4.4738,77959.77,0.53847
2026-04-17T14:41:58.703280+00:00,77959.76,4.82139,77959.77,1.51615
2026-04-17T14:41:59.989540+00:00,77959.76,3.61053,77959.77,1.70372
2026-04-17T14:42:01.288698+00:00,77959.76,2.54969,77959.77,1.73922
2026-04-17T14:42:02.697835+00:00,77953.88,1.62027,77953.89,1.76345
2026-04-17T14:42:03.993607+00:00,77955.85,5.07336,77955.86,1.73956
2026-04-17T14:42:05.361438+00:00,77955.85,3.91707,77955.86,0.03067
2026-04-17T14:42:06.690997+00:00,77955.85,4.29001,77955.86,0.05762
2026-04-17T14:42:08.021135+00:00,77961.99,4.31996,77962.0,0.9048
2026-04-17T14:42:09.308522+00:00,77966.79,2.18519,77966.8,2.09
2026-04-17T14:42:10.683443+00:00,77966.79,2.28974,77966.8,1.52582
2026-04-17T14:42:11.979656+00:00,77958.67,2.32242,77958.68,0.89462
2026-04-17T14:42:13.270778+00:00,77967.99,3.2114,77968.0,0.7113
2026-04-17T14:42:14.677015+00:00,77974.58,1.09538,77974.59,2.72901
2026-04-17T14:42:16.008209+00:00,77969.46,0.07488,77969.47,5.49059
2026-04-17T14:42:17.305705+00:00,77969.46,2.48043,77969.47,1.94056
2026-04-17T14:42:18.592970+00:00,77966.26,0.02605,77966.27,5.6513
2026-04-17T14:42:19.874954+00:00,77991.05,2.92652,77991.06,0.30963
2026-04-17T14:42:21.233216+00:00,77996.99,1.8989,77997.0,0.66499
2026-04-17T14:42:22.593594+00:00,77997.69,3.78895,77997.7,0.27108
2026-04-17T14:42:24.013568+00:00,77997.75,0.80139,77997.76,2.8371
2026-04-17T14:42:25.395209+00:00,77997.75,2.23195,77997.76,0.51465
2026-04-17T14:42:26.766469+00:00,77996.99,1.49188,77997.0,1.66769
2026-04-17T14:42:28.121378+00:00,77996.99,1.50328,77997.0,1.41381
2026-04-17T14:42:29.538017+00:00,77996.68,0.02633,77996.69,6.556
2026-04-17T14:42:30.924767+00:00,77992.68,2.24026,77992.69,0.42618
2026-04-17T14:42:32.300766+00:00,77992.68,1.56903,77992.69,1.90421
2026-04-17T14:42:33.679781+00:00,77997.99,3.96402,77998.0,0.44603
2026-04-17T14:42:35.066820+00:00,77992.68,0.52594,77992.69,4.0757
2026-04-17T14:42:36.451127+00:00,77992.68,0.00525,77992.69,4.09587
2026-04-17T14:42:37.845087+00:00,77975.49,2.91295,77975.5,2.33411
2026-04-17T14:42:39.207140+00:00,77975.49,1.99402,77975.5,1.78792
2026-04-17T14:42:40.573038+00:00,77975.49,2.7685,77975.5,1.57029
2026-04-17T14:42:41.945609+00:00,77982.19,1.81851,77982.2,1.89515
2026-04-17T14:42:43.314520+00:00,77982.19,1.27747,77982.2,2.07431
2026-04-17T14:42:44.713893+00:00,77982.2,6.79077,77982.21,0.12618
2026-04-17T14:42:46.148836+00:00,77989.95,0.40259,77989.96,2.29734
2026-04-17T14:42:47.481373+00:00,77989.94,4.8871,77989.95,0.0216
2026-04-17T14:42:48.813222+00:00,77992.68,3.58431,77992.69,0.01027
2026-04-17T14:42:50.250757+00:00,77996.69,5.80561,77996.7,0.39753
2026-04-17T14:42:51.682001+00:00,77996.69,2.85428,77996.7,0.07703
2026-04-17T14:42:53.014767+00:00,77996.7,4.52272,77996.71,1.20833
2026-04-17T14:42:54.321984+00:00,77996.71,4.98671,77996.72,1.59514
2026-04-17T14:42:55.677786+00:00,77998.99,5.11461,77999.0,3.38118
2026-04-17T14:42:56.979946+00:00,77998.99,1.70081,77999.0,2.14975
2026-04-17T14:42:58.286263+00:00,77998.99,2.34214,77999.0,0.42854
2026-04-17T14:42:59.673195+00:00,77999.99,2.2807,78000.0,62.74761
2026-04-17T14:43:00.962631+00:00,77999.99,2.58026,78000.0,55.25993
2026-04-17T14:43:02.271220+00:00,77999.99,3.45239,78000.0,53.28653
2026-04-17T14:43:03.579285+00:00,77999.99,7.39625,78000.0,22.26253
2026-04-17T14:43:04.881949+00:00,78024.63,2.72794,78024.64,0.44543
2026-04-17T14:43:06.197236+00:00,78027.36,3.30135,78027.37,0.13219
2026-04-17T14:43:07.559769+00:00,78027.36,0.00112,78027.37,4.66483
2026-04-17T14:43:08.891705+00:00,78029.98,4.26433,78029.99,0.65885
2026-04-17T14:43:10.215202+00:00,78034.11,5.03029,78034.12,0.62928
2026-04-17T14:43:11.555218+00:00,78031.86,1.95569,78031.87,1.94726
2026-04-17T14:43:12.987940+00:00,78031.86,2.65599,78031.87,0.29124
2026-04-17T14:43:14.294126+00:00,78029.98,0.3934,78029.99,1.93096
2026-04-17T14:43:15.650519+00:00,78038.44,5.64153,78038.45,0.32761
2026-04-17T14:43:16.981395+00:00,78034.24,6.40463,78034.25,0.0023
2026-04-17T14:43:18.291814+00:00,78038.0,2.5195,78038.01,1.63878
2026-04-17T14:43:19.644450+00:00,78039.84,4.05637,78039.85,0.41434
2026-04-17T14:43:20.955651+00:00,78042.98,3.62109,78042.99,0.41663
2026-04-17T14:43:22.307825+00:00,78045.96,2.56917,78045.97,1.77725
2026-04-17T14:43:23.625847+00:00,78045.96,3.32302,78045.97,0.28074
2026-04-17T14:43:24.969982+00:00,78042.96,2.84297,78042.97,0.77286
2026-04-17T14:43:26.277966+00:00,78042.96,1.70227,78042.97,2.49025
2026-04-17T14:43:27.582405+00:00,78021.73,4.25035,78021.74,0.34118
2026-04-17T14:43:28.872984+00:00,78024.14,1.64117,78024.15,5.49663
2026-04-17T14:43:30.295365+00:00,78016.24,3.2021,78016.25,0.21506
2026-04-17T14:43:31.728670+00:00,78020.24,5.01496,78020.25,0.74385
2026-04-17T14:43:33.060317+00:00,78027.98,0.04097,78027.99,2.88991
2026-04-17T14:43:34.365709+00:00,78017.29,7.83245,78017.3,0.35197
2026-04-17T14:43:35.668368+00:00,77969.36,0.0355,77969.37,1.05008
2026-04-17T14:43:36.971376+00:00,77926.61,1.74343,77926.62,2.94116
2026-04-17T14:43:38.385769+00:00,77912.21,0.47974,77912.22,2.70656
2026-04-17T14:43:39.705777+00:00,77918.27,2.43378,77918.28,0.82886
2026-04-17T14:43:41.010150+00:00,77900.0,1.6732,77900.01,2.31271
2026-04-17T14:43:42.379429+00:00,77884.74,5.25504,77884.75,0.92667
2026-04-17T14:43:43.710998+00:00,77884.74,2.51302,77884.75,0.24712
2026-04-17T14:43:45.144112+00:00,77897.32,2.69072,77897.33,1.02394
2026-04-17T14:43:46.475290+00:00,77860.21,2.09051,77860.22,2.82106
2026-04-17T14:43:47.806242+00:00,77867.97,0.76667,77867.98,4.15066
2026-04-17T14:43:49.099811+00:00,77878.11,5.30291,77878.12,0.39144
2026-04-17T14:43:50.392317+00:00,77872.76,0.14853,77872.77,2.57222
2026-04-17T14:43:51.684396+00:00,77861.45,1.75012,77861.46,2.46541
2026-04-17T14:43:52.983665+00:00,77864.49,3.18,77864.5,0.58979
2026-04-17T14:43:54.279012+00:00,77820.0,1.03907,77820.01,2.39706
2026-04-17T14:43:55.690423+00:00,77825.75,5.07938,77825.76,0.23466
2026-04-17T14:43:57.014297+00:00,77836.69,5.40592,77836.7,1.04052
2026-04-17T14:43:58.326070+00:00,77846.85,0.70618,77846.86,3.74973
2026-04-17T14:43:59.684142+00:00,77851.03,5.51889,77851.04,0.15757
2026-04-17T14:44:00.983789+00:00,77867.48,2.46779,77867.49,0.00128
2026-04-17T14:44:02.285224+00:00,77872.18,1.80057,77872.19,1.62778
2026-04-17T14:44:03.679032+00:00,77865.74,1.29261,77865.75,2.42405
2026-04-17T14:44:05.009607+00:00,77867.9,6.20459,77867.91,0.00105
2026-04-17T14:44:06.326418+00:00,77886.99,4.48621,77887.0,0.00112
2026-04-17T14:44:07.616112+00:00,77893.99,5.20927,77894.0,0.25592
2026-04-17T14:44:09.002528+00:00,77873.49,0.41988,77873.5,3.77227
2026-04-17T14:44:10.293708+00:00,77872.8,0.12228,77872.81,4.30689
2026-04-17T14:44:11.667079+00:00,77865.81,1.28668,77865.82,2.59754
2026-04-17T14:44:12.998787+00:00,77838.73,0.67833,77838.74,3.56164
2026-04-17T14:44:14.340335+00:00,77838.73,0.67191,77838.74,2.86942
2026-04-17T14:44:15.659079+00:00,77846.52,3.475,77846.53,1.50932
2026-04-17T14:44:16.989816+00:00,77839.58,2.51649,77839.59,1.92987
2026-04-17T14:44:18.288671+00:00,77854.69,2.90518,77854.7,0.00161
2026-04-17T14:44:19.599487+00:00,77862.11,0.74815,77862.12,1.61918
2026-04-17T14:44:20.917023+00:00,77862.11,2.23686,77862.12,0.98534
2026-04-17T14:44:22.214181+00:00,77846.96,1.62652,77846.97,2.77311
2026-04-17T14:44:23.544142+00:00,77846.96,1.32207,77846.97,2.43518
2026-04-17T14:44:24.843933+00:00,77846.96,0.09428,77846.97,2.41907
2026-04-17T14:44:26.140098+00:00,77838.3,2.07627,77838.31,3.0446
2026-04-17T14:44:27.538681+00:00,77858.87,2.22158,77858.88,2.19844
2026-04-17T14:44:28.837165+00:00,77865.74,0.67654,77865.75,1.95448
2026-04-17T14:44:30.155368+00:00,77869.78,4.12062,77869.79,0.00114
